index,T1,T2,T3,N1,N2,N3,N4,S,Z1,Z2,Z3,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13
169,63,40,202,19,20,12,12,40,111,45,46,16,16,16,16,15,15,16,15,15,16,15,15,16
170,53,34,170,15,16,10,12,34,90,38,42,14,12,10,13,14,17,12,12,10,13,14,14,15
171,50,31,156,20,11,7,12,31,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
173,57,34,190,19,15,10,13,34,102,44,44,16,15,14,15,15,14,13,16,15,14,14,15,14
174,57,39,197,17,20,9,11,39,100,48,49,13,16,13,15,16,16,14,17,13,16,19,16,13
175,45,30,158,14,15,8,8,30,85,36,37,12,12,12,14,13,12,12,12,12,13,12,12,10
177,48,30,156,15,15,9,9,30,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
178,55,35,155,19,16,8,12,35,84,36,35,12,12,12,12,12,12,12,12,12,11,12,12,12
179,16,30,156,5,5,3,3,30,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
180,46,39,186,23,5,3,15,39,97,45,44,13,13,15,16,14,15,15,14,14,15,15,16,11
181,60,33,126,21,21,3,15,33,71,35,20,13,10,13,9,9,8,11,4,11,8,11,13,6
182,39,33,199,14,7,5,13,33,101,53,45,15,20,11,19,16,16,11,13,17,16,17,19,9
183,28,34,185,5,5,5,13,34,94,48,43,18,14,12,15,11,14,12,14,14,15,16,18,12
184,34,27,107,10,12,6,6,27,59,24,24,8,9,10,8,8,8,8,8,8,8,8,8,8
185,59,35,213,21,21,5,12,35,124,43,46,18,17,19,20,19,18,20,12,12,16,14,17,11
186,65,48,255,17,25,8,15,48,135,60,60,20,20,20,20,19,20,20,20,20,20,20,20,16
187,37,30,184,13,10,3,11,30,99,44,41,13,16,11,17,16,13,14,14,14,14,16,14,12
188,50,35,208,19,9,7,15,35,112,48,48,16,16,16,16,16,16,16,16,16,16,16,16,16
